;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;Оповещение о закрытии трактов (каналов);Оповещение о закрытии трактов (каналов);;;;
;;;в результате проведения плановых и неплановых РНР;в результате проведения плановых и неплановых РНР;;;;
;;;"на СМП ОАО ""Ростелеком""";"на СМП ОАО ""Ростелеком""";;;;
;;;;;;;;
Клиент;Дата, время;Условие проведения работ;№ работы;Существующая нумерация трактов;Участок измерений;Содержание работ;Направление связи, ПЦТ, канала, межд.обозн.;Вид использования
1;2;3;4;5;6;7;8;9
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6 КР;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S5           [1042568]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S5           [1042568]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6 КР;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S6           [1042576]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S6           [1042576]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6 КР;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S7           [1042591]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S7           [1042591]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6 КР;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S8           [1042597]";МН,ТЕА
"CHINA TELECOM;ТЕА; ФИНЛЯНДИЯ; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Эспоо - ПЕКИН; VC4S8           [1042597]";МН,ТЕА
"CHINA TELECOM; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6 КР;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ПЕКИН; 16V4C1          [1080088]";МЗАРУБКОМП
"CHINA TELECOM; КИТАЙ";с 22:00 Сб 23.08.2014 до 01:00 Вс 24.08.2014;4-6;08/1400924;К708-63-60;12001 - 12007;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ПЕКИН; 16V4C1          [1080088]";МЗАРУБКОМП
"CHINA TELECOM;ТЕА; ГЕРМАНИЯ; КИТАЙ";Вс 24.08.2014 c 03:00 до 08:00;2-8 ЗАК;00/1400950;KIEV-FFM-00-26-1-0-2-0-0-1;1302 - 6703;Работы по оптимизации на сети Vodafone  с закрытием 5 часов.;"ФРАНКФУРТ/МАЙН - Эрлианхот; 64S2            [1286125]";МН,ТЕА
"CHINA TELECOM;ТЕА; ГЕРМАНИЯ; КИТАЙ";Вс 24.08.2014 c 03:00 до 08:00;2-8 ЗАК;00/1400950;KIEV-FFM-00-26-1-0-3-0-0-1;1302 - 6703;- ' ' -;"ФРАНКФУРТ/МАЙН - Эрлианхот; 64S3            [1286126]";МН,ТЕА
"CHINA TELECOM;ТЕА; ГЕРМАНИЯ; КИТАЙ";Вс 24.08.2014 c 03:00 до 08:00;2-8 ЗАК;00/1400950;KIEV-FFM-00-52-1-0-10-0-0-1;1302 - 6703;- ' ' -;"ФРАНКФУРТ/МАЙН - Эрлианхот; 64S1            [1280544]";МН,ТЕА
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;"На уч-ке 12003-15001 переключение трафика оптического канала по распоряжению 13-2-307741 в рамках реализации проекта ""Расширение сети передачи данных IP/MPLS ОАО ""Ростелеком""  в 2011г. 4 этап 3 очередь 1п.к."", с переводом трафика на кольцевой резерв. Производитель работ: 12003, 15001, МРЦУСС. Перенос с 19/08.";"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Сущевский Вал, 26, МСС-12 - ГУАНЧЖОУ; 30n001         ; B [352537]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM;СГМД; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30n001         ; B [597476]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Любань - ГУАНЧЖОУ; 30n001         ; B [751630]";ТФС,ИНО
